Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001379,Male,Yes,2,Graduate,No,"3,800","3,600",216,360,0,Urban,No
LP001384,Male,Yes,3,Not Graduate,No,"2,071",754,94,480,1,Semiurban,Yes
LP001385,Male,No,0,Graduate,No,"5,316",-,136,360,1,Urban,Yes
LP001387,Female,Yes,0,Graduate,Unknown,"2,929","2,333",139,360,1,Semiurban,Yes
LP001391,Male,Yes,0,Not Graduate,No,"3,572","4,114",152,-,0,Rural,No
LP001392,Female,No,1,Graduate,Yes,"7,451",-,-,360,1,Semiurban,Yes
LP001398,Male,No,0,Graduate,Unknown,"5,050",-,118,360,1,Semiurban,Yes
LP001401,Male,Yes,1,Graduate,No,"14,583",-,185,180,1,Rural,Yes
LP001404,Female,Yes,0,Graduate,No,"3,167","2,283",154,360,1,Semiurban,Yes
LP001405,Male,Yes,1,Graduate,No,"2,214","1,398",85,360,Unknown,Urban,Yes
LP001421,Male,Yes,0,Graduate,No,"5,568","2,142",175,360,1,Rural,No
LP001422,Female,No,0,Graduate,No,"10,408",-,259,360,1,Urban,Yes
LP001426,Male,Yes,Unknown,Graduate,No,"5,667","2,667",180,360,1,Rural,Yes
LP001430,Female,No,0,Graduate,No,"4,166",-,44,360,1,Semiurban,Yes
LP001431,Female,No,0,Graduate,No,"2,137","8,980",137,360,0,Semiurban,Yes
LP001432,Male,Yes,2,Graduate,No,"2,957",-,81,360,1,Semiurban,Yes
LP001439,Male,Yes,0,Not Graduate,No,"4,300","2,014",194,360,1,Rural,Yes
LP001443,Female,No,0,Graduate,No,"3,692",-,93,360,Unknown,Rural,Yes
LP001448,Unknown,Yes,3,Graduate,No,"23,803",-,370,360,1,Rural,Yes
LP001449,Male,No,0,Graduate,No,"3,865","1,640",-,360,1,Rural,Yes
LP001451,Male,Yes,1,Graduate,Yes,"10,513","3,850",160,180,0,Urban,No
LP001465,Male,Yes,0,Graduate,No,"6,080","2,569",182,360,Unknown,Rural,No
LP001469,Male,No,0,Graduate,Yes,"20,166",-,650,480,Unknown,Urban,Yes
LP001473,Male,No,0,Graduate,No,"2,014","1,929",74,360,1,Urban,Yes
LP001478,Male,No,0,Graduate,No,"2,718",-,70,360,1,Semiurban,Yes
LP001482,Male,Yes,0,Graduate,Yes,"3,459",-,25,120,1,Semiurban,Yes
LP001487,Male,No,0,Graduate,No,"4,895",-,102,360,1,Semiurban,Yes
LP001488,Male,Yes,3,Graduate,No,"4,000","7,750",290,360,1,Semiurban,No
LP001489,Female,Yes,0,Graduate,No,"4,583",-,84,360,1,Rural,No
LP001491,Male,Yes,2,Graduate,Yes,"3,316","3,500",88,360,1,Urban,Yes
LP001492,Male,No,0,Graduate,No,"14,999",-,242,360,0,Semiurban,No
LP001493,Male,Yes,2,Not Graduate,No,"4,200","1,430",129,360,1,Rural,No
LP001497,Male,Yes,2,Graduate,No,"5,042","2,083",185,360,1,Rural,No
LP001498,Male,No,0,Graduate,No,"5,417",-,168,360,1,Urban,Yes
LP001504,Male,No,0,Graduate,Yes,"6,950",-,175,180,1,Semiurban,Yes
LP001507,Male,Yes,0,Graduate,No,"2,698","2,034",122,360,1,Semiurban,Yes
LP001508,Male,Yes,2,Graduate,No,"11,757",-,187,180,1,Urban,Yes
LP001514,Female,Yes,0,Graduate,No,"2,330","4,486",100,360,1,Semiurban,Yes
LP001516,Female,Yes,2,Graduate,No,"14,866",-,70,360,1,Urban,Yes
LP001518,Male,Yes,1,Graduate,No,"1,538","1,425",30,360,1,Urban,Yes
LP001519,Female,No,0,Graduate,No,"10,000","1,666",225,360,1,Rural,No
LP001520,Male,Yes,0,Graduate,No,"4,860",830,125,360,1,Semiurban,Yes
LP001528,Male,No,0,Graduate,No,"6,277",-,118,360,0,Rural,No
LP001529,Male,Yes,0,Graduate,Yes,"2,577","3,750",152,360,1,Rural,Yes
LP001531,Male,No,0,Graduate,No,"9,166",-,244,360,1,Urban,No
LP001532,Male,Yes,2,Not Graduate,No,"2,281",-,113,360,1,Rural,No
LP001535,Male,No,0,Graduate,No,"3,254",-,50,360,1,Urban,Yes
LP001536,Male,Yes,3,Graduate,No,"39,999",-,600,180,0,Semiurban,Yes
LP001541,Male,Yes,1,Graduate,No,"6,000",-,160,360,Unknown,Rural,Yes
LP001543,Male,Yes,1,Graduate,No,"9,538",-,187,360,1,Urban,Yes
LP001546,Male,No,0,Graduate,Unknown,"2,980","2,083",120,360,1,Rural,Yes
LP001552,Male,Yes,0,Graduate,No,"4,583","5,625",255,360,1,Semiurban,Yes
LP001560,Male,Yes,0,Not Graduate,No,"1,863","1,041",98,360,1,Semiurban,Yes
LP001562,Male,Yes,0,Graduate,No,"7,933",-,275,360,1,Urban,No
LP001565,Male,Yes,1,Graduate,No,"3,089","1,280",121,360,0,Semiurban,No
LP001570,Male,Yes,2,Graduate,No,"4,167","1,447",158,360,1,Rural,Yes
LP001572,Male,Yes,0,Graduate,No,"9,323",-,75,180,1,Urban,Yes
LP001574,Male,Yes,0,Graduate,No,"3,707","3,166",182,-,1,Rural,Yes
LP001577,Female,Yes,0,Graduate,No,"4,583",-,112,360,1,Rural,No
LP001578,Male,Yes,0,Graduate,No,"2,439","3,333",129,360,1,Rural,Yes
LP001579,Male,No,0,Graduate,No,"2,237",-,63,480,0,Semiurban,No
LP001580,Male,Yes,2,Graduate,No,"8,000",-,200,360,1,Semiurban,Yes
LP001581,Male,Yes,0,Not Graduate,Unknown,"1,820","1,769",95,360,1,Rural,Yes
LP001585,Unknown,Yes,3,Graduate,No,"51,763",-,700,300,1,Urban,Yes
LP001586,Male,Yes,3,Not Graduate,No,"3,522",-,81,180,1,Rural,No
LP001594,Male,Yes,0,Graduate,No,"5,708","5,625",187,360,1,Semiurban,Yes
LP001603,Male,Yes,0,Not Graduate,Yes,"4,344",736,87,360,1,Semiurban,No
LP001606,Male,Yes,0,Graduate,No,"3,497","1,964",116,360,1,Rural,Yes
LP001608,Male,Yes,2,Graduate,No,"2,045","1,619",101,360,1,Rural,Yes
LP001610,Male,Yes,3,Graduate,No,"5,516","11,300",495,360,0,Semiurban,No
LP001616,Male,Yes,1,Graduate,No,"3,750",-,116,360,1,Semiurban,Yes
LP001630,Male,No,0,Not Graduate,No,"2,333","1,451",102,480,0,Urban,No
LP001633,Male,Yes,1,Graduate,No,"6,400","7,250",180,360,0,Urban,No
LP001634,Male,No,0,Graduate,No,"1,916","5,063",67,360,Unknown,Rural,No
LP001636,Male,Yes,0,Graduate,No,"4,600",-,73,180,1,Semiurban,Yes
LP001637,Male,Yes,1,Graduate,No,"33,846",-,260,360,1,Semiurban,No
LP001639,Female,Yes,0,Graduate,No,"3,625",-,108,360,1,Semiurban,Yes
LP001640,Male,Yes,0,Graduate,Yes,"39,147","4,750",120,360,1,Semiurban,Yes
LP001641,Male,Yes,1,Graduate,Yes,"2,178",-,66,300,0,Rural,No
LP001643,Male,Yes,0,Graduate,No,"2,383","2,138",58,360,Unknown,Rural,Yes
LP001644,Unknown,Yes,0,Graduate,Yes,674,"5,296",168,360,1,Rural,Yes
LP001647,Male,Yes,0,Graduate,No,"9,328",-,188,180,1,Rural,Yes
LP001653,Male,No,0,Not Graduate,No,"4,885",-,48,360,1,Rural,Yes
LP001656,Male,No,0,Graduate,No,"12,000",-,164,360,1,Semiurban,No
LP001657,Male,Yes,0,Not Graduate,No,"6,033",-,160,360,1,Urban,No
LP001658,Male,No,0,Graduate,No,"3,858",-,76,360,1,Semiurban,Yes
LP001664,Male,No,0,Graduate,No,"4,191",-,120,360,1,Rural,Yes
LP001665,Male,Yes,1,Graduate,No,"3,125","2,583",170,360,1,Semiurban,No
LP001666,Male,No,0,Graduate,No,"8,333","3,750",187,360,1,Rural,Yes
LP001669,Female,No,0,Not Graduate,No,"1,907","2,365",120,-,1,Urban,Yes
LP001671,Female,Yes,0,Graduate,No,"3,416","2,816",113,360,Unknown,Semiurban,Yes
LP001673,Male,No,0,Graduate,Yes,"11,000",-,83,360,1,Urban,No
LP001674,Male,Yes,1,Not Graduate,No,"2,600","2,500",90,360,1,Semiurban,Yes
LP001677,Male,No,2,Graduate,No,"4,923",-,166,360,0,Semiurban,Yes
LP001682,Male,Yes,3,Not Graduate,No,"3,992",-,-,180,1,Urban,No
LP001688,Male,Yes,1,Not Graduate,No,"3,500","1,083",135,360,1,Urban,Yes
LP001691,Male,Yes,2,Not Graduate,No,"3,917",-,124,360,1,Semiurban,Yes
LP001692,Female,No,0,Not Graduate,No,"4,408",-,120,360,1,Semiurban,Yes
LP001693,Female,No,0,Graduate,No,"3,244",-,80,360,1,Urban,Yes
LP001698,Male,No,0,Not Graduate,No,"3,975","2,531",55,360,1,Rural,Yes
LP001699,Male,No,0,Graduate,No,"2,479",-,59,360,1,Urban,Yes
LP001702,Male,No,0,Graduate,No,"3,418",-,127,360,1,Semiurban,No
LP001708,Female,No,0,Graduate,No,"10,000",-,214,360,1,Semiurban,No
LP001711,Male,Yes,3,Graduate,No,"3,430","1,250",128,360,0,Semiurban,No
LP001713,Male,Yes,1,Graduate,Yes,"7,787",-,240,360,1,Urban,Yes
LP001715,Male,Yes,3,Not Graduate,Yes,"5,703",-,130,360,1,Rural,Yes
LP001716,Male,Yes,0,Graduate,No,"3,173","3,021",137,360,1,Urban,Yes
LP001720,Male,Yes,3,Not Graduate,No,"3,850",983,100,360,1,Semiurban,Yes
LP001722,Male,Yes,0,Graduate,No,150,"1,800",135,360,1,Rural,No
LP001726,Male,Yes,0,Graduate,No,"3,727","1,775",131,360,1,Semiurban,Yes
LP001732,Male,Yes,2,Graduate,Unknown,"5,000",-,72,360,0,Semiurban,No
LP001734,Female,Yes,2,Graduate,No,"4,283","2,383",127,360,Unknown,Semiurban,Yes
LP001736,Male,Yes,0,Graduate,No,"2,221",-,60,360,0,Urban,No
LP001743,Male,Yes,2,Graduate,No,"4,009","1,717",116,360,1,Semiurban,Yes
LP001744,Male,No,0,Graduate,No,"2,971","2,791",144,360,1,Semiurban,Yes
LP001749,Male,Yes,0,Graduate,No,"7,578","1,010",175,-,1,Semiurban,Yes
LP001750,Male,Yes,0,Graduate,No,"6,250",-,128,360,1,Semiurban,Yes
LP001751,Male,Yes,0,Graduate,No,"3,250",-,170,360,1,Rural,No
LP001754,Male,Yes,Unknown,Not Graduate,Yes,"4,735",-,138,360,1,Urban,No
LP001758,Male,Yes,2,Graduate,No,"6,250","1,695",210,360,1,Semiurban,Yes
LP001760,Male,Unknown,Unknown,Graduate,No,"4,758",-,158,480,1,Semiurban,Yes
LP001761,Male,No,0,Graduate,Yes,"6,400",-,200,360,1,Rural,Yes
LP001765,Male,Yes,1,Graduate,No,"2,491","2,054",104,360,1,Semiurban,Yes
LP001768,Male,Yes,0,Graduate,Unknown,"3,716",-,42,180,1,Rural,Yes
LP001770,Male,No,0,Not Graduate,No,"3,189","2,598",120,-,1,Rural,Yes
LP001776,Female,No,0,Graduate,No,"8,333",-,280,360,1,Semiurban,Yes
LP001778,Male,Yes,1,Graduate,No,"3,155","1,779",140,360,1,Semiurban,Yes
LP001784,Male,Yes,1,Graduate,No,"5,500","1,260",170,360,1,Rural,Yes
LP001786,Male,Yes,0,Graduate,Unknown,"5,746",-,255,360,Unknown,Urban,No
LP001788,Female,No,0,Graduate,Yes,"3,463",-,122,360,Unknown,Urban,Yes
LP001790,Female,No,1,Graduate,No,"3,812",-,112,360,1,Rural,Yes
LP001792,Male,Yes,1,Graduate,No,"3,315",-,96,360,1,Semiurban,Yes
LP001798,Male,Yes,2,Graduate,No,"5,819","5,000",120,360,1,Rural,Yes
LP001800,Male,Yes,1,Not Graduate,No,"2,510","1,983",140,180,1,Urban,No
LP001806,Male,No,0,Graduate,No,"2,965","5,701",155,60,1,Urban,Yes
LP001807,Male,Yes,2,Graduate,Yes,"6,250","1,300",108,360,1,Rural,Yes
LP001811,Male,Yes,0,Not Graduate,No,"3,406","4,417",123,360,1,Semiurban,Yes
LP001813,Male,No,0,Graduate,Yes,"6,050","4,333",120,180,1,Urban,No
LP001814,Male,Yes,2,Graduate,No,"9,703",-,112,360,1,Urban,Yes
LP001819,Male,Yes,1,Not Graduate,No,"6,608",-,137,180,1,Urban,Yes
LP001824,Male,Yes,1,Graduate,No,"2,882","1,843",123,480,1,Semiurban,Yes
LP001825,Male,Yes,0,Graduate,No,"1,809","1,868",90,360,1,Urban,Yes
LP001835,Male,Yes,0,Not Graduate,No,"1,668","3,890",201,360,0,Semiurban,No
LP001836,Female,No,2,Graduate,No,"3,427",-,138,360,1,Urban,No
LP001841,Male,No,0,Not Graduate,Yes,"2,583","2,167",104,360,1,Rural,Yes
LP001843,Male,Yes,1,Not Graduate,No,"2,661","7,101",279,180,1,Semiurban,Yes
LP001844,Male,No,0,Graduate,Yes,"16,250",-,192,360,0,Urban,No
LP001846,Female,No,3,Graduate,No,"3,083",-,255,360,1,Rural,Yes
LP001849,Male,No,0,Not Graduate,No,"6,045",-,115,360,0,Rural,No
LP001854,Male,Yes,3,Graduate,No,"5,250",-,94,360,1,Urban,No
LP001859,Male,Yes,0,Graduate,No,"14,683","2,100",304,360,1,Rural,No
LP001864,Male,Yes,3,Not Graduate,No,"4,931",-,128,360,Unknown,Semiurban,No
LP001865,Male,Yes,1,Graduate,No,"6,083","4,250",330,360,Unknown,Urban,Yes
LP001868,Male,No,0,Graduate,No,"2,060","2,209",134,360,1,Semiurban,Yes
LP001870,Female,No,1,Graduate,No,"3,481",-,155,36,1,Semiurban,No
LP001871,Female,No,0,Graduate,No,"7,200",-,120,360,1,Rural,Yes
LP001872,Male,No,0,Graduate,Yes,"5,166",-,128,360,1,Semiurban,Yes
LP001875,Male,No,0,Graduate,No,"4,095","3,447",151,360,1,Rural,Yes
LP001877,Male,Yes,2,Graduate,No,"4,708","1,387",150,360,1,Semiurban,Yes
LP001882,Male,Yes,3,Graduate,No,"4,333","1,811",160,360,0,Urban,Yes
LP001883,Female,No,0,Graduate,Unknown,"3,418",-,135,360,1,Rural,No
LP001884,Female,No,1,Graduate,No,"2,876","1,560",90,360,1,Urban,Yes
LP001888,Female,No,0,Graduate,No,"3,237",-,30,360,1,Urban,Yes
LP001891,Male,Yes,0,Graduate,No,"11,146",-,136,360,1,Urban,Yes
LP001892,Male,No,0,Graduate,No,"2,833","1,857",126,360,1,Rural,Yes
LP001894,Male,Yes,0,Graduate,No,"2,620","2,223",150,360,1,Semiurban,Yes
LP001896,Male,Yes,2,Graduate,No,"3,900",-,90,360,1,Semiurban,Yes
LP001900,Male,Yes,1,Graduate,No,"2,750","1,842",115,360,1,Semiurban,Yes
LP001903,Male,Yes,0,Graduate,No,"3,993","3,274",207,360,1,Semiurban,Yes
LP001904,Male,Yes,0,Graduate,No,"3,103","1,300",80,360,1,Urban,Yes
LP001907,Male,Yes,0,Graduate,No,"14,583",-,436,360,1,Semiurban,Yes
LP001908,Female,Yes,0,Not Graduate,No,"4,100",-,124,360,Unknown,Rural,Yes
LP001910,Male,No,1,Not Graduate,Yes,"4,053","2,426",158,360,0,Urban,No
LP001914,Male,Yes,0,Graduate,No,"3,927",800,112,360,1,Semiurban,Yes
LP001915,Male,Yes,2,Graduate,No,"2,301",986,78,180,1,Urban,Yes
LP001917,Female,No,0,Graduate,No,"1,811","1,666",54,360,1,Urban,Yes
LP001922,Male,Yes,0,Graduate,No,"20,667",-,-,360,1,Rural,No
LP001924,Male,No,0,Graduate,No,"3,158","3,053",89,360,1,Rural,Yes
LP001925,Female,No,0,Graduate,Yes,"2,600","1,717",99,300,1,Semiurban,No
LP001926,Male,Yes,0,Graduate,No,"3,704","2,000",120,360,1,Rural,Yes
LP001931,Female,No,0,Graduate,No,"4,124",-,115,360,1,Semiurban,Yes
LP001935,Male,No,0,Graduate,No,"9,508",-,187,360,1,Rural,Yes
LP001936,Male,Yes,0,Graduate,No,"3,075","2,416",139,360,1,Rural,Yes
LP001938,Male,Yes,2,Graduate,No,"4,400",-,127,360,0,Semiurban,No
LP001940,Male,Yes,2,Graduate,No,"3,153","1,560",134,360,1,Urban,Yes
LP001945,Female,No,Unknown,Graduate,No,"5,417",-,143,480,0,Urban,No
LP001947,Male,Yes,0,Graduate,No,"2,383","3,334",172,360,1,Semiurban,Yes
LP001949,Male,Yes,3,Graduate,Unknown,"4,416","1,250",110,360,1,Urban,Yes
LP001953,Male,Yes,1,Graduate,No,"6,875",-,200,360,1,Semiurban,Yes
LP001954,Female,Yes,1,Graduate,No,"4,666",-,135,360,1,Urban,Yes
LP001955,Female,No,0,Graduate,No,"5,000","2,541",151,480,1,Rural,No
LP001963,Male,Yes,1,Graduate,No,"2,014","2,925",113,360,1,Urban,No
LP001964,Male,Yes,0,Not Graduate,No,"1,800","2,934",93,360,0,Urban,No
LP001972,Male,Yes,Unknown,Not Graduate,No,"2,875","1,750",105,360,1,Semiurban,Yes
LP001974,Female,No,0,Graduate,No,"5,000",-,132,360,1,Rural,Yes
LP001977,Male,Yes,1,Graduate,No,"1,625","1,803",96,360,1,Urban,Yes
LP001978,Male,No,0,Graduate,No,"4,000","2,500",140,360,1,Rural,Yes
LP001990,Male,No,0,Not Graduate,No,"2,000",-,-,360,1,Urban,No
LP001993,Female,No,0,Graduate,No,"3,762","1,666",135,360,1,Rural,Yes
LP001994,Female,No,0,Graduate,No,"2,400","1,863",104,360,0,Urban,No
LP001996,Male,No,0,Graduate,No,"20,233",-,480,360,1,Rural,No
LP001998,Male,Yes,2,Not Graduate,No,"7,667",-,185,360,Unknown,Rural,Yes
LP002002,Female,No,0,Graduate,No,"2,917",-,84,360,1,Semiurban,Yes
LP002004,Male,No,0,Not Graduate,No,"2,927","2,405",111,360,1,Semiurban,Yes
LP002006,Female,No,0,Graduate,No,"2,507",-,56,360,1,Rural,Yes
LP002008,Male,Yes,2,Graduate,Yes,"5,746",-,144,84,Unknown,Rural,Yes
LP002024,Unknown,Yes,0,Graduate,No,"2,473","1,843",159,360,1,Rural,No
LP002031,Male,Yes,1,Not Graduate,No,"3,399","1,640",111,180,1,Urban,Yes
LP002035,Male,Yes,2,Graduate,No,"3,717",-,120,360,1,Semiurban,Yes
